=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.29 22:35:54 =~=~=~=~=~=~=~=~=~=~=~=
Wheel Right = 0.000000Distance Travelled: -2.000
Wheel Right = 0.000000Distance Travelled: 0.000
Wheel Right = -2.000000Distance Travelled: 2.682e+154
Wheel Right = 2.681562e+154Distance Travelled: 0.000
Wheel Right = 0.000000Distance Travelled: 2.000
Wheel Right = -0.000000Distance Travelled: 0.000
Wheel Right = 2.000000Distance Travelled: -0.000
Wheel Right = -2.681562e+154Distance Travelled: 0.000
Wheel Right = 0.000000Distance Travelled: 0.000
Wheel Right = 0.000000Distance Travelled: 2.000
Wheel Right = -2.000000Distance Travelled: 0.000
Wheel Right = 0.000000Distance Travelled: 0.000
Wheel Right = -2.681562e+154Distance Travelled: -2.000
Wheel Right = -0.000000Distance Travelled: -2.682e+154
Wheel Right = 2.681562e+154Distance Travelled: -2.682e+154
Wheel Right = 0.000000Distance Travelled: -2.000
